name-AREA
жизнь | продолжаться-Социальное обслуживание, социальная поддержка и защита граждан
инклюзивный | экотропа | усадьба | брат | кощеев-Социальное обслуживание, социальная поддержка и защита граждан
магия | воздушный | полотно-Охрана здоровья граждан, пропаганда здорового образа жизни
качественный | социальный | услуга |  | путь | к | здоровье | наш | ребёнок-Социальное обслуживание, социальная поддержка и защита граждан
служба | помощь-Социальное обслуживание, социальная поддержка и защита граждан
клетка | жизнь-Охрана здоровья граждан, пропаганда здорового образа жизни
московский | городской | библиофестиваль | театр | автор | нестандарт-Поддержка проектов в области науки, образования, просвещения
заповедный | игра | играть | познать | и | сохранять | с | заповедный | территория | россия-Охрана окружающей среды и защита животных
общественный | совет | малый | река | для | сохранение | луга | от | исток | к | устье-Охрана окружающей среды и защита животных
применение | метод | обучение | ментальный | арифметика | для | преодоление | социальный | и | образовательный | сложность | у | ребёнок | с | расстройство | аутистический | спечь-Социальное обслуживание, социальная поддержка и защита граждан
путь | к | взросление |  | развитие | жизненный | компетенция | у | подросток | с | раса-Социальное обслуживание, социальная поддержка и защита граждан
дневный | центр | как | проект | помощь | бездомный | человек | и | проект | по | изменение | отношение | общество | к | проблема | бездомность-Социальное обслуживание, социальная поддержка и защита граждан
швейный | артель | милосердие-Социальное обслуживание, социальная поддержка и защита граждан
новый | возможность-Социальное обслуживание, социальная поддержка и защита граждан
старт | в | будущее |  | миссия | выполнимый-Социальное обслуживание, социальная поддержка и защита граждан
аквареабилитация | и | сенсорный | интеграция | на | вода | рыбка | мой-Социальное обслуживание, социальная поддержка и защита граждан
православный | следопыт-Сохранение исторической памяти
о | чем | молчать | разрушить | храм-Сохранение исторической памяти
наш | путь | к | здоровье-Охрана здоровья граждан, пропаганда здорового образа жизни
особый | книга-Поддержка проектов в области науки, образования, просвещения
ii | всероссийский | фестиваль | детскоюношеский | любительский | театр | притяжение-Поддержка проектов в области науки, образования, просвещения
территория | медиация-Поддержка семьи, материнства, отцовства и детства
культурнообразовательный | проект |  | ремесло |  | ребёнок-Поддержка проектов в области науки, образования, просвещения
онлайнпроект | знать | ли | ты | осетия-Поддержка проектов в области науки, образования, просвещения
создание | первый | молодёжный | коворкингцентр | коворкингpro-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
служба | социальный | взаимопомощь | важный | человек-Социальное обслуживание, социальная поддержка и защита граждан
футболстираяграница-Охрана здоровья граждан, пропаганда здорового образа жизни
запуск | новый | еженедельный | пробежка | паркран | в |  | российский | город-Охрана здоровья граждан, пропаганда здорового образа жизни
этноспорт |  | развитие | культура-Охрана здоровья граждан, пропаганда здорового образа жизни
консультационный | служба-Социальное обслуживание, социальная поддержка и защита граждан
киноэстафета | прорваться | в | будущий | россия-Поддержка проектов в области науки, образования, просвещения
звезда | спорт | в | твой | город | развитие | панкратион | в | малый | город | калининградский | область-Охрана здоровья граждан, пропаганда здорового образа жизни
память | антарктида-Развитие общественной дипломатии и поддержка соотечественников
учиться | играть | побеждать-Охрана здоровья граждан, пропаганда здорового образа жизни
академия | киберчеловек | проведение | online | реабилитация | для | человек | без | рука-Социальное обслуживание, социальная поддержка и защита граждан
некоммерческий | инклюзивный | частный | школа | маяк-Поддержка проектов в области науки, образования, просвещения
создание | отделение | сестринский | паллиативный | помощь | для | тяжело | больной | человек | на | база | отделение | дневный | пребывание | городской | больница | город | юрюзань-Охрана здоровья граждан, пропаганда здорового образа жизни
бабушкин | тюмень-Социальное обслуживание, социальная поддержка и защита граждан
рассвет | белый | генерал-Сохранение исторической памяти
россия |  | казахстан | поновое | о | старый | век | й-Сохранение исторической памяти
стойкость | стать | камень |  | год | подвиг | легендарный | подземный | гарнизон-Сохранение исторической памяти
у | рыба | есть | право-Охрана окружающей среды и защита животных
международный | молодёжный | проект | горизонт | -Развитие общественной дипломатии и поддержка соотечественников
школа | фехтование | казачий | страж-Охрана здоровья граждан, пропаганда здорового образа жизни
рождение | атомный | век | великий | учёный | петербург-Сохранение исторической памяти
футбол |  | территория | свобода-Поддержка семьи, материнства, отцовства и детства
пластик | в | дело-Охрана окружающей среды и защита животных
карельский | лыжня-Охрана здоровья граждан, пропаганда здорового образа жизни
милосердие | в | дом | елисавета-Социальное обслуживание, социальная поддержка и защита граждан
живой | тепло | ребёнок | сибирь-Охрана здоровья граждан, пропаганда здорового образа жизни
школа | столярный | мастерство | woodstule-Социальное обслуживание, социальная поддержка и защита граждан
точка | интерес-Социальное обслуживание, социальная поддержка и защита граждан
священный | долг-Сохранение исторической памяти
доктор | лошадь | -Социальное обслуживание, социальная поддержка и защита граждан
лето | на | завод-Сохранение исторической памяти
выбраться | с | улица | профобучение | и | сопровождать | трудоустройство | бездомный | человек | в | санктпетербург-Социальное обслуживание, социальная поддержка и защита граждан
элегантный | перезагрузка-Социальное обслуживание, социальная поддержка и защита граждан
территория | женщина-Социальное обслуживание, социальная поддержка и защита граждан
сельский | общественный | пространство | сельмаг | в | подвязие-Поддержка семьи, материнства, отцовства и детства
зарядка | для | мозг |  | онлайн | новый | уровень-Социальное обслуживание, социальная поддержка и защита граждан
формула | свобода-Охрана здоровья граждан, пропаганда здорового образа жизни
памятьник-Сохранение исторической памяти
сталинград |  | великое | сражение | в | свет | документ | и | воспоминание-Сохранение исторической памяти
оставаться | в | строй-Социальное обслуживание, социальная поддержка и защита граждан
школа | для | родитель | герой-Поддержка семьи, материнства, отцовства и детства
расти | вместе | с | дзюдо-Охрана здоровья граждан, пропаганда здорового образа жизни
мобильный | пункт | оказание | социальный | помощь | бездомный | человек | и | человек | в | трудный | жизненный | ситуация |  | гуманитарный | автобус-Социальное обслуживание, социальная поддержка и защита граждан
историкомемориальный | тропа | по | мусульманский | кладбище | г | троицк-Сохранение исторической памяти
спортивный | квартал-Охрана здоровья граждан, пропаганда здорового образа жизни
автопомощь | волонтёр | -Социальное обслуживание, социальная поддержка и защита граждан
за | речка-Сохранение исторической памяти
стерилизацияспасти | живой | душа | продолжение-Охрана окружающей среды и защита животных
class | ecoglass-Поддержка проектов в области науки, образования, просвещения
самый | дружный | интеркласс-Укрепление межнационального и межрелигиозного согласия
здоровый | будущее | за | мы-Охрана здоровья граждан, пропаганда здорового образа жизни
физкультура | и | спорт |  | к | достижение | взлёт-Охрана здоровья граждан, пропаганда здорового образа жизни
iii | международный | молодёжный | научнопрактический | конференция | арктический | исследование | от | экстенсивный | освоение | к | комплексный | развитие-Поддержка проектов в области науки, образования, просвещения
открытый | город | помогать-Развитие институтов гражданского общества
мой | лошадиный | сила-Охрана здоровья граждан, пропаганда здорового образа жизни
сильный | ребёнок |  | здоровый | общество | -Охрана здоровья граждан, пропаганда здорового образа жизни
public | diplomacy | program | meeting | russia | -Развитие общественной дипломатии и поддержка соотечественников
время | первый-Поддержка проектов в области науки, образования, просвещения
школа | будущее | для | ребёнок | с | раса | прикладной | анализ | поведение | в | обучение | школьник | с | расстройство | аутистический | спектр | в | санктпетербург-Поддержка проектов в области науки, образования, просвещения
центр | обучение | родитель | ребёнок | с | овз | практика | игра-Поддержка семьи, материнства, отцовства и детства
практикум | консалтинговый | акселератор-Развитие институтов гражданского общества
студия | мультипликационный | терапия | для | реабилитация | ребёнок | с | ментальный | нарушение | мультздоровье-Социальное обслуживание, социальная поддержка и защита граждан
xi | всероссийский | фестивальпрактикум | детский | хоровой | пение | и | фольклор | благодатный | лето | жигули |  | -"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
комплексный | служба | социальный | сопровождение | тепло | семья-Поддержка семьи, материнства, отцовства и детства
миграция | и | развитие | мир | распространение | успешный | технология | российский | нко | в | система | предвыездной | подготовка | мигрант | через | развитие | сотрудничество-Развитие общественной дипломатии и поддержка соотечественников
здоровый | альтернатива-Охрана здоровья граждан, пропаганда здорового образа жизни
бокс | без | граница-Охрана здоровья граждан, пропаганда здорового образа жизни
второе | дыхание-Поддержка семьи, материнства, отцовства и детства
пятёрка | в | школа | подготовка | к | школа-Поддержка проектов в области науки, образования, просвещения
инклюзивный | коммуникативный | лагерь | для | особенный | подросток | в | стиль | rock-Поддержка семьи, материнства, отцовства и детства
профориентационный | соревнование | школьник | медиатон-Поддержка проектов в области науки, образования, просвещения
программа | поддержка | и | реабилитация | родственник | онкологический | пациент | научиться | быть | рядом-Социальное обслуживание, социальная поддержка и защита граждан
создание | система | комплексный | социальный | обслуживание | человек | с | онкологический | заболевание | служба | забота-Социальное обслуживание, социальная поддержка и защита граждан
особенный | букет |  | первый | шаг | в | профессия | для | молодой | человек | с | ментальный | нарушение-Поддержка проектов в области науки, образования, просвещения
успешный | нко |  | путь | к | устойчивость-Развитие институтов гражданского общества
территория | возможность-Социальное обслуживание, социальная поддержка и защита граждан
дом | уличный | культура-Поддержка семьи, материнства, отцовства и детства
особый | семья |  | особый | потребность-Социальное обслуживание, социальная поддержка и защита граждан
работа | без | граница-Поддержка семьи, материнства, отцовства и детства
сборник | по | краеведение | для | ребёнок | младший | школьный | возраст | путешествие | красногорик-Сохранение исторической памяти
сестринский | уход | в | условие | стационар | в | хороший | традиция | милосердие-Социальное обслуживание, социальная поддержка и защита граждан
развитие | паллиативный | помощь | и | социальный | обслуживание | на | дом | для | тяжелобольной | гражданин | проживать | в | ростовский | борисоглебский | гавриловямский | р-Охрана здоровья граждан, пропаганда здорового образа жизни
детский | акселератор | старт | в | наука-Поддержка проектов в области науки, образования, просвещения
кухня | ручной | работа |  | зона | социальнодосуговый | пространство | точка | соприкосновение | для | подросток | молодой | взрослый | с | ограниченный | возможность | зд-Поддержка семьи, материнства, отцовства и детства
от | психологический | реабилитация | к | трудовой | занятость-Социальное обслуживание, социальная поддержка и защита граждан
третий | сектор |  | лидер | изменение-Развитие институтов гражданского общества
навигатор | по | социальный | сеть | для | музей | и | библиотека-Поддержка проектов в области науки, образования, просвещения
широкий | казачий | удаль-Сохранение исторической памяти
всероссийский | школа | поисковик | поисковый | фронт-Сохранение исторической памяти
в | нога | с | время-Сохранение исторической памяти
школа | первоклассник | для | ребёнок | с | ограниченный | возможность | здоровье-Поддержка проектов в области науки, образования, просвещения
школа | актив | стройотряд | преображение-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
иммерсивный | спектакль | метанойя | направить | на | борьба | с | наркотический | зависимость-Охрана здоровья граждан, пропаганда здорового образа жизни
игра | народ-Укрепление межнационального и межрелигиозного согласия
подготовка | и | проведение | всемирный | культурнопросветительский | акция | тотальный | диктант |  |  | и | серия | мероприятие | по | повышение | уровень | языковой | культура-Поддержка проектов в области науки, образования, просвещения
опыт | эксперт |  | профессионал | повышение | компетентность | специалист | сфера | особый | детство | и | студент | профильный | вуз-Социальное обслуживание, социальная поддержка и защита граждан
фестивальмарафон | чтение | и | знание | читать-Поддержка проектов в области науки, образования, просвещения
программа | комплексный | абилитация | личность | мир | равный | возможность | в | тюменский | область-Поддержка семьи, материнства, отцовства и детства
покорять | химический | олимп-Поддержка проектов в области науки, образования, просвещения
труба | звать | ландшафтный | культурноисторический | комплекс | соль | тотемский-Сохранение исторической памяти
ветеринарный | центр | милосердие | на | база | приют | для | животное | милый | в | город | великий | лука-Охрана окружающей среды и защита животных
мамапрофи-Поддержка семьи, материнства, отцовства и детства
комплексный | психологопедагогический | поддержка | семья | с | ребёнок | с | расстройство | аутистический | спектр-Поддержка семьи, материнства, отцовства и детства
развитие | водный | туризм | на | река | и | озёры | республика | бурятия-Охрана здоровья граждан, пропаганда здорового образа жизни
детский | театр | высокий | прогулка-Поддержка проектов в области науки, образования, просвещения
инклюзивный | интерактивный | среда | оpeness | для | успешный | социализация | ребёнок | с | овз | в | схарбал | чурапчинский | улус | район | республика | саха | якутия-Поддержка проектов в области науки, образования, просвещения
мы | память | о | вы | сохранить-Сохранение исторической памяти
великий | писатель | урал | ребёнок-Поддержка проектов в области науки, образования, просвещения
следжфорсаж-Охрана здоровья граждан, пропаганда здорового образа жизни
детский | спортивный | движение | маленький | чемпион | расширение | горизонт-Охрана здоровья граждан, пропаганда здорового образа жизни
танец | про-Сохранение исторической памяти
фестиваль | лыжный | туризм | нетающий | лыжня-Охрана здоровья граждан, пропаганда здорового образа жизни
молодёжный | фестиваль | экоlife-Охрана окружающей среды и защита животных
родный | край | любить | и | узнавать-Сохранение исторической памяти
открытый | фестиваль | семейный | скалолазание-Охрана здоровья граждан, пропаганда здорового образа жизни
марафон | прививка | от | фашизм-Сохранение исторической памяти
городок | безопасность | дорожный | движение-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
преемственность | и | маршрут | сопровождение | дошкольный | и | начальный | общий | образование | обучаться | с | раса | и | другой | ментальный | нарушение | развитие | в | чу-Поддержка семьи, материнства, отцовства и детства
быть | вместе-Поддержка семьи, материнства, отцовства и детства
лаборатория | профессиональный | проба-Поддержка проектов в области науки, образования, просвещения
волонтёрский | вектор-Социальное обслуживание, социальная поддержка и защита граждан
здоровый | детство-Охрана здоровья граждан, пропаганда здорового образа жизни
наследник | горнозаводский | цивилизация-Сохранение исторической памяти
творческий | лаборатория | красавица | русский | сказка-Сохранение исторической памяти
учиться | вместе | создание | система | педагогический | наставничество | над | сирота | ребёнок | остаться | без | попечение | родитель-Поддержка проектов в области науки, образования, просвещения
каратэ | для | жизнь-Охрана здоровья граждан, пропаганда здорового образа жизни
расширение | программа | комплексный | ранний | помощь | семья | воспитывать | ребёнок | с | расстройство | аутистический | спектр-Поддержка семьи, материнства, отцовства и детства
инклюзивный | тренировка | новый | формат-Охрана здоровья граждан, пропаганда здорового образа жизни
интерактивный | программаproчувствовать-Поддержка проектов в области науки, образования, просвещения
лига | олимп | четыре | поколение-Охрана здоровья граждан, пропаганда здорового образа жизни
передвижной | выставка | чепецкий | мамонт-Сохранение исторической памяти
старт | для | чемпион | с | синдром | даун | художественный | и | спортивный | гимнастика-Охрана здоровья граждан, пропаганда здорового образа жизни
неботерапия | и | инклюзивный | инваспорт-Социальное обслуживание, социальная поддержка и защита граждан
деревенский | выходной | -Социальное обслуживание, социальная поддержка и защита граждан
душа | народ | он | сила | и | гордость |  | xxi | международный | пленэр | юный | художник | на | владимиросуздальский | земля-Укрепление межнационального и межрелигиозного согласия
женский | лыжный | забег | я | сам | сюда | дойти | на | лыжа | и | другой | приключение | в | далее | простоквашин-Охрана здоровья граждан, пропаганда здорового образа жизни
спортивный | туризм |  | в | рсоалания-Охрана здоровья граждан, пропаганда здорового образа жизни
милосердие | в | цифровой | среда | обучение | нко | фандрайзинговый | сторителлинг | и | развитие | диджитал | инструментарий | продвижение | сбор | на | портал | милосердиеr-Развитие институтов гражданского общества
на | мой | герб |  | парус-Охрана здоровья граждан, пропаганда здорового образа жизни
deltav | обучать | курс | по | основа | иммунопрофилактика | для | среднее | медицинский | персонал-Поддержка проектов в области науки, образования, просвещения
степной | лебедь | открывать | новый | горизонт-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
долговременный | уход | мы | вы | помочь-Социальное обслуживание, социальная поддержка и защита граждан
с | песня | по | жизнь-Социальное обслуживание, социальная поддержка и защита граждан
легенда | южный | хант | историкокраеведческий | расследование-Сохранение исторической памяти
доктор | с | грива-Социальное обслуживание, социальная поддержка и защита граждан
школа | приёмный | родитель | умиление | с | забота | о | выпускник | -Поддержка семьи, материнства, отцовства и детства
ямский | станция-Сохранение исторической памяти
тюмень |  | город | госпиталь-Сохранение исторической памяти
вахта | память | ржев |  | дальний | восток | newstage-Сохранение исторической памяти
гривастый | талисман | мечта-Охрана здоровья граждан, пропаганда здорового образа жизни
говорить | верность-Охрана окружающей среды и защита животных
трогательный | космос-Поддержка проектов в области науки, образования, просвещения
семья |  | территория | творчество | -Поддержка семьи, материнства, отцовства и детства
каждый | особенный-Поддержка семьи, материнства, отцовства и детства
замурчательный | доктор-Социальное обслуживание, социальная поддержка и защита граждан
особый | тур | инклюзивный | туризм | в | свердловский | область-Поддержка проектов в области науки, образования, просвещения
пункт | реабилитация | пострадать | животное-Охрана окружающей среды и защита животных
хотеть | на | бал-Социальное обслуживание, социальная поддержка и защита граждан
живить | родник-Охрана окружающей среды и защита животных
семейный | клуб | на | один | волна-Поддержка семьи, материнства, отцовства и детства
мы | мочь-Охрана здоровья граждан, пропаганда здорового образа жизни
близкий | человек-Поддержка семьи, материнства, отцовства и детства
платформа | развитие | регион | северокавказский | федеральный | округ | вектор | кавказ-Поддержка проектов в области науки, образования, просвещения
школа | взросление | организация | комплекс | мероприятие | по | приобретение | компетенция | и | формирование | навык | у | подросток | для | ответственный | отношение | к | сво-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
детский | спорт |  | путёвка | в | жизнь-Охрана здоровья граждан, пропаганда здорового образа жизни
родный | обитель | церковноисторический | музей | при | святовознесенский | мужской | монастырь | г | сызрань-Сохранение исторической памяти
инклюзивный | тропа | юный | герой-Охрана здоровья граждан, пропаганда здорового образа жизни
явление | достоевский | мотивация | старшеклассник | выборгский | епархия | к | глубокий | чтение | творчество | писатель-Поддержка проектов в области науки, образования, просвещения
школа | социальный | технология | и | поддержка | гражданский | инициатива | лидер | изменение | -Развитие институтов гражданского общества
межрегиональный | историкоисследовательский | маршрут | сибирский | летопись | подвиг | новосибирскленинградсанктпетербург-Сохранение исторической памяти
развитие | пациентский | нко | перезагрузка | взаимодействие | с | власть-Развитие институтов гражданского общества
встать | на | нога | психологический | и | социальный | реабилитация | подросток | отбывать | наказание | в | место | лишение | свобода-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
есть | контакт-Поддержка семьи, материнства, отцовства и детства
ленинградский | рокнролл-Охрана здоровья граждан, пропаганда здорового образа жизни
игра | твой | мечта | всероссийский | футбольный | турнир | для | воспитанник | детский | учреждение-Поддержка семьи, материнства, отцовства и детства
чувашия |  | территория | спортивный | туризм-Охрана здоровья граждан, пропаганда здорового образа жизни
врач | и | пациент | понимать | сберечь | время | информационный | служба | онлайнмаршрутизация | пациент | с | онкозаболевание-Охрана здоровья граждан, пропаганда здорового образа жизни
школа | ответственный | владелец | домашний | питомец-Охрана окружающей среды и защита животных
доставка | жизнь |  | помощь | человек | нуждаться | в | пересадка | чужое | костный | мозг-Охрана здоровья граждан, пропаганда здорового образа жизни
без | срок | давность | электронный | энциклопедия | геноцид | советский | народ | нацист | и | они | пособник | в | год | великий | отечественный | война-Поддержка проектов в области науки, образования, просвещения
здоровый | детство |  | путь | к | повышение | здоровье | нация | и | активный | долголетие-Охрана здоровья граждан, пропаганда здорового образа жизни
кубок | парковый | город | тюмень | по | спортивный | ориентирование-Охрана здоровья граждан, пропаганда здорового образа жизни
iv | межрегиональный | гуманитарнопросветительский | медиафестиваль | спасти | на | енисей-Укрепление межнационального и межрелигиозного согласия
первый | всероссийский | день | чтение | вслух | живой | классика-Поддержка проектов в области науки, образования, просвещения
зелёный | экономика-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
от | стихийный | социальный | волонтерство | к | организовать-Развитие институтов гражданского общества
ярославский | джаз | в | лицо-Сохранение исторической памяти
я | рассказать | о | дорога | мужество-Сохранение исторической памяти
спортивнотуристический | фестиваль | за | полярный | кругом | трансурал-Охрана здоровья граждан, пропаганда здорового образа жизни
пункт | обогрев-Социальное обслуживание, социальная поддержка и защита граждан
социальный | сопровождение | бездомный | гражданин | с | ограниченный | возможность-Социальное обслуживание, социальная поддержка и защита граждан
zdravстарый-Социальное обслуживание, социальная поддержка и защита граждан
реацентр |  | создание | многопрофильный | ресурсный | центр | комплексный | поддержка | и | реабилитация | инвалид | и | человек | с | ограниченный | возможность | здоровье | в-Социальное обслуживание, социальная поддержка и защита граждан
